"id"	"Intensity.12500amol_R1"	"Intensity.12500amol_R2"	"Intensity.12500amol_R3"	"Intensity.125amol_R1"	"Intensity.125amol_R2"	"Intensity.125amol_R3"	"Intensity.25000amol_R1"	"Intensity.25000amol_R2"	"Intensity.25000amol_R3"	"Intensity.2500amol_R1"	"Intensity.2500amol_R2"	"Intensity.2500amol_R3"	"Intensity.250amol_R1"	"Intensity.250amol_R2"	"Intensity.250amol_R3"	"Intensity.50000amol_R1"	"Intensity.50000amol_R2"	"Intensity.50000amol_R3"	"Intensity.5000amol_R1"	"Intensity.5000amol_R2"	"Intensity.5000amol_R3"	"Intensity.500amol_R1"	"Intensity.500amol_R2"	"Intensity.500amol_R3"	"Intensity.50amol_R1"	"Intensity.50amol_R2"	"Intensity.50amol_R3"
"Q04336"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1506300	NA	NA	1894000	1526900	NA	NA	NA	NA	NA	1494600	NA	NA	NA	NA	NA	NA	1390000
"P53839"	16386333.3333333	16696000	16366666.6666667	14338666.6666667	13300000	12357333.3333333	11440666.6666667	13763033.3333333	10699066.6666667	12894266.6666667	11028900	14250000	12375033.3333333	12208433.3333333	10056800	12450800	12429333.3333333	12097666.6666667	16181333.3333333	10729000	13205800	12804766.6666667	14121000	14457666.6666667	11037333.3333333	9660500	9819933.33333333
"P32352"	NA	NA	NA	NA	NA	NA	NA	3631800	NA	NA	NA	NA	NA	7686500	NA	NA	NA	NA	NA	NA	NA	NA	7147800	NA	2668700	6611300	NA
"P38205"	2988500	3325300	3517400	4108700	4060100	3469300	3719300	4224600	3876200	3834900	3852500	3720800	NA	4166000	3909900	4321050	5867600	5967600	4795400	3981700	4179500	3462400	5071100	3901200	4440500	5783166.66666667	4617800
"Q03690"	12362666.6666667	12189666.6666667	10991933.3333333	11773133.3333333	10071666.6666667	9996866.66666667	10238166.6666667	13936000	11469900	12068333.3333333	10506466.6666667	10639333.3333333	10836800	9307400	11732900	13494000	11866000	11253800	9035533.33333333	8749500	9598333.33333333	9529966.66666667	10493800	9852933.33333333	8051733.33333333	9085566.66666667	7773300
"P38077"	9048466.66666667	10115633.3333333	10756800	8360200	7926866.66666667	8243600	9051966.66666667	14230666.6666667	12235333.3333333	9631333.33333333	10174550	9534133.33333333	9751300	14034433.3333333	9275333.33333333	11661666.6666667	11045666.6666667	10457833.3333333	9390350	10290400	8686800	9232100	11107950	9039966.66666667	9460200	8245033.33333333	8268766.66666667
"P53312"	12030233.3333333	9040866.66666667	11786533.3333333	11298400	12626333.3333333	10019966.6666667	9606100	11847550	9114566.66666667	12442100	10324400	9032700	8766500	9522600	7487900	12143600	8514650	13917000	7750300	8118566.66666667	12330566.6666667	12990133.3333333	7754633.33333333	9519733.33333333	8401250	11000850	9543800
"P39078"	4192700	6146700	3439500	NA	NA	4292200	NA	5472300	4723800	NA	3830900	NA	NA	4020300	NA	NA	5706000	6191500	3292100	3928200	NA	NA	NA	NA	4162900	5577400	NA
"P04050"	NA	2420800	NA	NA	NA	NA	6238800	NA	NA	NA	NA	NA	1366800	2226900	2170800	NA	8234000	7747000	NA	NA	NA	3064200	2371600	2369800	NA	NA	NA
"Q05016"	24086000	23573000	24005333.3333333	26996000	20324333.3333333	20404333.3333333	23390666.6666667	27139333.3333333	23345666.6666667	23276333.3333333	22847666.6666667	23323000	11421933.3333333	22860666.6666667	23091000	27048000	27521666.6666667	28380000	22390000	24225000	22888333.3333333	20447000	21203000	25435333.3333333	21741000	23544333.3333333	23604666.6666667
"P38707"	24850000	27085000	24424000	16113100	19559600	21167666.6666667	19700666.6666667	24633000	19304333.3333333	23033666.6666667	21465333.3333333	28177333.3333333	9041033.33333333	17808066.6666667	18580666.6666667	32296333.3333333	31844333.3333333	27115000	20387666.6666667	28090000	26836000	5855550	31686666.6666667	19938333.3333333	21396666.6666667	21096000	28179333.3333333
"P35719"	9147866.66666667	6729333.33333333	10074166.6666667	13595900	13709366.6666667	10853900	4952166.66666667	10294366.6666667	9708266.66666667	8208633.33333333	8810066.66666667	11134233.3333333	12962266.6666667	10016900	7172266.66666667	9498133.33333333	8257066.66666667	6417100	8396333.33333333	7877200	8143333.33333333	9303800	8300866.66666667	10592866.6666667	8258466.66666667	8632633.33333333	12236600
"P17505"	51558000	64516000	63132666.6666667	71467333.3333333	43557000	43142333.3333333	60599666.6666667	62029666.6666667	61718000	55661333.3333333	53179333.3333333	38109666.6666667	55615666.6666667	41825333.3333333	60814666.6666667	56999000	59451000	55555666.6666667	36435000	53475666.6666667	36995000	60652000	42212000	44931000	47832000	40500666.6666667	47246000
"P53046"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53003000	NA	NA	NA	NA	NA	NA	NA	NA	NA	48123000	NA	NA	NA	8300700	NA	NA
"P38295"	NA	NA	NA	2215100	3038750	NA	NA	4823500	NA	3958200	NA	NA	NA	3549000	NA	NA	NA	NA	4600700	3245500	NA	NA	3801600	4002200	2213300	3820400	3076100
"P63279ups|UBC9_HUMAN_UPS"	NA	NA	NA	NA	NA	NA	9537466.66666667	4980550	11797100	NA	NA	NA	NA	NA	NA	27438000	19493666.6666667	20045333.3333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P00830"	46714333.3333333	57214666.6666667	56737000	66596000	61949333.3333333	53750666.6666667	54829333.3333333	70282000	62946000	62647000	57463333.3333333	55487666.6666667	59805666.6666667	59385666.6666667	59980666.6666667	68000333.3333333	65169000	63739000	58736000	52625666.6666667	57392666.6666667	59486666.6666667	59412666.6666667	68712000	63140000	57454666.6666667	60629000
"P00931"	26390000	26880333.3333333	17644000	22209000	18247000	17451000	25380333.3333333	21509333.3333333	18098000	21317666.6666667	17587666.6666667	15349833.3333333	32290666.6666667	18124000	18894000	25278666.6666667	24834666.6666667	19735666.6666667	17699333.3333333	16600666.6666667	16055000	30498666.6666667	20349666.6666667	18979666.6666667	20707000	20252000	19854666.6666667
"P07170"	35157666.6666667	19659333.3333333	34869000	24724333.3333333	23499333.3333333	12045966.6666667	30747000	50476000	43274333.3333333	26264333.3333333	14927600	16480700	9932100	20827666.6666667	12154000	44844000	44637333.3333333	47104000	23114000	23264000	20672333.3333333	13787266.6666667	37630666.6666667	36603000	23238666.6666667	24821333.3333333	20463666.6666667
"P15992"	27690700	33632666.6666667	36082666.6666667	29016333.3333333	30329000	30992000	34503666.6666667	41792666.6666667	33327000	36307333.3333333	28378600	32514666.6666667	30137000	24792033.3333333	19842433.3333333	42341000	36760333.3333333	38332666.6666667	37025333.3333333	35422666.6666667	27053000	22634533.3333333	38634333.3333333	29771166.6666667	34265333.3333333	32212333.3333333	30646666.6666667
"Q06408"	5761150	5305566.66666667	6390400	5783200	2835033.33333333	2093200	5084433.33333333	8122450	6531050	NA	4920700	4580366.66666667	4674066.66666667	5529500	3693900	10052350	4472800	6864900	6540150	2462900	5183933.33333333	6285466.66666667	3083866.66666667	5184466.66666667	5232650	6003200	4920633.33333333
"Q01560"	16825666.6666667	12411533.3333333	16575666.6666667	17538666.6666667	18539000	17880666.6666667	17019000	18621500	17876333.3333333	12165533.3333333	13183733.3333333	17066000	15315733.3333333	13293000	17296666.6666667	25080666.6666667	25499666.6666667	19384666.6666667	14947000	13538666.6666667	16482333.3333333	18235000	18822000	15810333.3333333	21704333.3333333	15030333.3333333	16827000
"Q02725"	3598000	4009000	3232850	2973350	3317450	2664433.33333333	4786400	5023200	5769000	3081900	2894800	NA	3822200	2836450	4052100	3932900	3106133.33333333	3362600	2549100	2980500	4349700	2685950	4604900	4282666.66666667	4285366.66666667	4070233.33333333	2984600
"P35844"	2630700	2393000	8514000	2755750	23101000	4803700	2418250	7877133.33333333	3508600	3719300	1919665	2637800	1825255	NA	2525965	3896100	4033800	3851950	2067365	2860275	2223100	NA	2207215	3221900	10034500	NA	3610233.33333333
"P36060"	NA	2586600	NA	NA	NA	NA	2298300	NA	NA	NA	NA	2889600	NA	NA	NA	2163400	2355150	NA	NA	2710300	NA	NA	2562400	NA	NA	NA	NA
"P41940"	49045333.3333333	48084333.3333333	54014333.3333333	50051000	49274000	52190333.3333333	43759333.3333333	61785333.3333333	50995000	47844333.3333333	48706000	48899333.3333333	50256666.6666667	47850666.6666667	49737666.6666667	53512666.6666667	49983333.3333333	49314666.6666667	49270333.3333333	46609666.6666667	47446000	49091000	48989333.3333333	55189666.6666667	52386666.6666667	56594333.3333333	54948000
"P04806"	50269000	51829000	52135666.6666667	69320666.6666667	51828666.6666667	65364333.3333333	45421000	48867000	51905000	51875333.3333333	44422333.3333333	36446666.6666667	62435666.6666667	37864333.3333333	59972666.6666667	48846333.3333333	47154666.6666667	43897333.3333333	38810000	34743000	34175333.3333333	66667000	44983000	38216333.3333333	49695666.6666667	40622666.6666667	53430333.3333333
"P38912"	2997600	3489150	3174050	3815450	4702200	NA	3980050	8159600	3967350	4110300	2441700	3618400	NA	3655050	4111500	3954600	4825250	4933150	3879700	4015500	3424400	4292400	3444900	8351700	3457200	4226250	3378400
"P40054"	11033700	10184266.6666667	11621233.3333333	12381933.3333333	9632300	9867933.33333333	10720133.3333333	11692066.6666667	11152700	10540233.3333333	8462800	10425366.6666667	13460533.3333333	7565233.33333333	12883766.6666667	15569233.3333333	12630100	14618200	9964333.33333333	9959866.66666667	9537533.33333333	14240533.3333333	8633266.66666667	8011033.33333333	5996200	9628433.33333333	8406200
"P25294"	15395333.3333333	14207666.6666667	12682966.6666667	7194200	13376133.3333333	8692333.33333333	7980700	16535966.6666667	13190666.6666667	13830666.6666667	9745600	13343366.6666667	11255000	11343266.6666667	7680683.33333333	14274066.6666667	13540200	14223433.3333333	13294466.6666667	13658866.6666667	13419300	10713500	16658666.6666667	10866033.3333333	9015833.33333333	11749400	13572000
"P25491"	12022000	11487500	11772000	8998200	19379000	9541100	11568700	12188000	10621350	9957650	10111000	12975000	11471350	10495500	17947000	12940666.6666667	13356133.3333333	9104433.33333333	8237250	10211200	10867500	9635900	12174350	6348700	9313666.66666667	16188200	11833733.3333333
"Q03102"	11810000	NA	11263000	14747000	4555700	4555800	8443000	17132000	14320000	12188000	9865800	12044000	8552800	13446000	12271000	11848400	NA	13758000	13372000	13437000	10193000	14175000	12635000	4219400	5120800	5235400	5094900
"O43137"	8839800	4804200	NA	NA	9525900	9172200	NA	11853000	4414600	7953900	4662050	6177666.66666667	9612600	10186000	NA	3202900	NA	NA	8497300	8255200	4599700	9102300	NA	NA	NA	NA	NA
"P38817"	NA	NA	2688600	2983400	NA	2600800	2751500	5840300	3186100	2663400	2994000	3330500	4956050	3165250	3637800	3680450	NA	3548100	NA	NA	NA	NA	NA	3152300	3579800	3426000	NA
"P50094"	NA	NA	NA	NA	NA	NA	4443300	NA	NA	NA	NA	NA	6651600	NA	5278400	4463300	NA	NA	2510700	NA	NA	NA	NA	NA	NA	3886800	NA
"P16649"	3419500	3291500	2946800	NA	NA	3089300	NA	NA	NA	NA	2684000	874740	NA	3401700	NA	NA	NA	NA	3419300	NA	NA	NA	NA	NA	2262500	2306100	3514200
"P28319"	2870200	NA	NA	NA	2573200	NA	NA	NA	4464800	2342900	NA	2839400	NA	2808600	NA	3635500	4319300	3991700	3407800	3193900	2640900	NA	NA	2843600	NA	NA	NA
"P21801"	NA	3170200	3995200	3017200	3673300	3986900	3273300	4669600	4103400	4733400	3664800	3569900	NA	4052300	4354450	3925600	5119400	NA	3205800	NA	4150600	4330500	4069800	3935200	2449500	NA	2821700
"P43590"	5338150	5050433.33333333	7150000	6148100	5673500	7411300	7136600	6687900	6423600	3045100	5701000	8219600	7818300	6345900	8086700	10389000	8001750	7041600	8854700	7137550	3664800	9198500	8938600	7877000	9961400	8789700	5960200
"P40483"	NA	3248700	NA	3712000	NA	2805800	3674400	3460400	2965800	1996000	3367100	NA	NA	NA	3533300	NA	1365800	1823900	NA	NA	NA	2835600	NA	NA	1178700	1259600	4313800
"P00360"	46544000	46762666.6666667	45045666.6666667	55411666.6666667	55229333.3333333	49636666.6666667	44008333.3333333	54617666.6666667	46573000	46524000	46804000	48686000	33936366.6666667	48597000	51552000	53935666.6666667	41786000	47762333.3333333	46729333.3333333	49339666.6666667	47409000	55255333.3333333	55089333.3333333	54774333.3333333	49480333.3333333	65699666.6666667	62516666.6666667
"P23248"	41733333.3333333	42524333.3333333	34690000	30451000	31750333.3333333	30237666.6666667	40464000	37734000	36374000	30425000	31581666.6666667	31624666.6666667	36711666.6666667	28820666.6666667	29028000	54040000	42788333.3333333	51822666.6666667	31571666.6666667	33950666.6666667	39286666.6666667	30893333.3333333	31660333.3333333	30394333.3333333	66654666.6666667	37247333.3333333	50990000
"P35691"	103698666.666667	98754333.3333333	78542000	91392000	89787333.3333333	85383666.6666667	96680333.3333333	110105666.666667	108034000	75040000	109120000	103383666.666667	83360333.3333333	83323666.6666667	86239666.6666667	91787000	106248666.666667	110964666.666667	77368333.3333333	77312000	107985000	84549666.6666667	75474666.6666667	90952000	51756666.6666667	129838000	117160333.333333
"Q3E7Z5"	NA	NA	2885800	2308000	NA	3257000	1952700	2595900	2256600	NA	NA	NA	NA	NA	NA	NA	1801400	3687200	NA	NA	2040100	NA	NA	NA	NA	NA	NA
"P22768"	10652000	9757800	8733466.66666667	10278433.3333333	10890800	8808766.66666667	7855366.66666667	8796966.66666667	9787333.33333333	8901633.33333333	8407200	7280166.66666667	11193500	7471800	11102666.6666667	9458633.33333333	10735833.3333333	10742233.3333333	8717033.33333333	4947833.33333333	8059766.66666667	9847800	6879700	7441000	17966666.6666667	16683333.3333333	12009000
"P03965"	10212833.3333333	12797333.3333333	11517900	12127300	9913733.33333333	8879366.66666667	13155033.3333333	10482566.6666667	11664800	8647366.66666667	12427433.3333333	7807200	11274466.6666667	9930733.33333333	12776666.6666667	12943666.6666667	9524566.66666667	9751766.66666667	10572433.3333333	9769500	7728233.33333333	11227300	8142366.66666667	7054733.33333333	9004166.66666667	9280100	8587700
"P28495"	3383800	3207500	4922100	3420050	5138200	4070450	4857700	3338500	3916800	3723150	3611600	3652500	4690100	3647000	5536500	3314500	4204150	2845500	3793050	4361700	4231300	4007400	3671550	4672100	4067900	3769600	4486100
"P07246"	12338500	11313550	12166000	20132000	20318000	21697000	12143300	20748000	18640000	13112050	19074000	19850000	17307000	18738000	20151000	24615000	14661850	22132000	18597000	20131000	18720000	20158000	22901000	15101800	10512366.6666667	10460033.3333333	17044000
"Q08985"	NA	NA	NA	6348500	5854600	5481500	NA	NA	5606300	NA	NA	NA	5553100	4717900	NA	6614850	4426600	5012200	NA	NA	NA	NA	5768850	NA	5088100	NA	NA
"P20051"	8643166.66666667	9056133.33333333	5483500	10563966.6666667	4449966.66666667	4401266.66666667	5849800	7473233.33333333	7863533.33333333	6163366.66666667	4973150	5330800	3074000	4079300	4517500	6303033.33333333	9256766.66666667	6536850	7354033.33333333	7965333.33333333	4407966.66666667	4653950	3990533.33333333	4644850	8422950	8408850	14555800
"P47117"	22797350	17874633.3333333	22823250	26977000	28701750	22808000	21058500	5926250	23424033.3333333	NA	NA	23563800	44066000	6609700	27867333.3333333	31863000	32272000	32337500	5488500	8057600	24620800	33850500	26634100	6846400	27911200	6609366.66666667	22050300
"P40990"	2352700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1627400	NA	NA	NA	NA	NA	NA	NA
"P38891"	19833000	17362366.6666667	19606666.6666667	31075000	26855333.3333333	32013666.6666667	18343000	21653666.6666667	19624666.6666667	19813666.6666667	20066333.3333333	13634666.6666667	17833333.3333333	18493000	18102166.6666667	27552000	26091000	25430333.3333333	11285166.6666667	16322633.3333333	19300333.3333333	28456333.3333333	18577333.3333333	12525500	25064666.6666667	32617000	33183000
"P53912"	30191666.6666667	26245333.3333333	29436333.3333333	23008333.3333333	26699666.6666667	19542466.6666667	18802866.6666667	34420000	30919666.6666667	28971000	28392333.3333333	32323500	16781400	25976333.3333333	18848666.6666667	30749333.3333333	28044266.6666667	30551333.3333333	26662666.6666667	23401366.6666667	25956000	22380000	28571333.3333333	27557666.6666667	26419000	26179500	23584000
"P41277"	51102333.3333333	28533333.3333333	28829000	27506700	53052000	25819266.6666667	49645000	54151000	25970066.6666667	29470666.6666667	31624333.3333333	44334966.6666667	22689133.3333333	47256666.6666667	30707000	53700333.3333333	53758666.6666667	55606333.3333333	48018333.3333333	47395666.6666667	49113666.6666667	50727666.6666667	28800566.6666667	31538333.3333333	31191000	45770333.3333333	46231666.6666667
"Q12329"	430810	507300	539510	459060	911955	NA	512310	781900	NA	NA	342815	365490	432820	NA	362735	NA	1089100	NA	1298940	336795	301440	502860	563230	494770	777140	880205	926955
"Q04175"	3307800	3544000	3194600	6020400	4686900	4912050	3637500	3990900	4719200	6070000	3920600	3717050	4492300	4399350	3722000	4267600	5109300	4704300	5462700	NA	NA	NA	NA	NA	NA	1403000	3169600
"P55957ups|BID_HUMAN_UPS"	16000300	18953000	16907000	NA	NA	NA	36284333.3333333	38204333.3333333	36879666.6666667	NA	NA	NA	NA	NA	NA	77229000	72641000	71068333.3333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q05506"	7877966.66666667	8175400	9033733.33333333	9985300	8443000	7966200	10603500	10965833.3333333	8545266.66666667	8111500	8319533.33333333	9233166.66666667	7898433.33333333	7960100	9784800	9039600	9666900	9396366.66666667	8360033.33333333	8568566.66666667	8162266.66666667	6904166.66666667	9431466.66666667	9547433.33333333	10416866.6666667	9254800	8356633.33333333
"P38836"	NA	NA	NA	2598400	6845600	2741500	NA	NA	NA	2448450	NA	NA	2827800	7098700	2175950	6516100	NA	NA	NA	NA	NA	2374000	NA	NA	2398800	NA	NA
"P38911"	6291050	7858100	4952900	4944663.33333333	11711000	12147000	6306150	8557850	4955190	9120800	6695600	6597750	11111000	5231040	7243400	7790450	7482750	11024000	6485800	6274450	3284800	12706000	7201600	6823250	9254450	NA	6436600
"P28707"	54635000	32705500	30139500	23628633.3333333	25641400	25544300	33207000	67460000	60606000	56532000	53526000	55159000	5834400	28888600	23018033.3333333	39411500	38674500	38769500	52758000	55383000	58711000	8388700	32015950	29775650	24373466.6666667	22335900	22649133.3333333
"P38061"	20388366.6666667	31738000	19668000	28071000	32576666.6666667	24089333.3333333	19794666.6666667	33304000	12823600	13239400	29622333.3333333	20310333.3333333	17868000	25763000	20265000	31075000	39617666.6666667	40471000	32783666.6666667	33074666.6666667	15078866.6666667	30250000	35161333.3333333	34669333.3333333	36273333.3333333	25173333.3333333	34327000
"P36154"	NA	NA	NA	2683500	NA	NA	2152900	NA	NA	NA	NA	NA	NA	2435900	NA	NA	NA	NA	2233900	NA	NA	3158100	NA	NA	NA	NA	NA
"P25373"	14339500	11525300	17002333.3333333	12699500	16275666.6666667	16516666.6666667	12573566.6666667	14187000	13822000	14008000	13629500	12387500	11164266.6666667	19007500	13021800	20749333.3333333	18418000	18096000	15983500	12380000	10407800	12948966.6666667	17385500	14534800	25024333.3333333	21274333.3333333	21561666.6666667
"P33330"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3124000	NA	NA	NA	8071500	6742000	3051900
"Q12449"	4706033.33333333	4881900	4850000	5161433.33333333	5111833.33333333	4643266.66666667	4412900	6265533.33333333	6080200	4150366.66666667	4709233.33333333	5166100	4766550	4817033.33333333	5261966.66666667	5828066.66666667	5766300	5474066.66666667	5182333.33333333	4710566.66666667	5205933.33333333	5295933.33333333	6079966.66666667	4959366.66666667	5752200	5623633.33333333	5898433.33333333
"P08758ups|ANXA5_HUMAN_UPS"	11326166.6666667	6735233.33333333	12114266.6666667	NA	NA	NA	29095333.3333333	19443333.3333333	25544000	NA	NA	NA	NA	NA	NA	79517666.6666667	69966000	68529666.6666667	6312900	2965500	NA	NA	NA	NA	NA	NA	NA
"P41159ups|LEP_HUMAN_UPS"	19440333.3333333	19431666.6666667	15570433.3333333	NA	NA	NA	38906666.6666667	48442666.6666667	47252000	NA	4811700	4552800	NA	NA	NA	108737666.666667	75197666.6666667	76200000	5828300	5980000	5905000	NA	NA	NA	NA	NA	NA
"P18961"	3637200	2345550	3821950	2203700	1701500	3142800	3265400	3041350	2638700	2124250	2865800	2549650	3568200	1661800	2444350	2775250	3128000	1806700	4170100	3235000	2222500	3446400	3794900	2897850	NA	1771900	1236000
"P14843"	13918400	16213333.3333333	14904500	16092333.3333333	9488800	16458066.6666667	9330800	13189200	12112800	14851233.3333333	15429333.3333333	10986533.3333333	19503666.6666667	14922233.3333333	16151866.6666667	15997400	15747866.6666667	14731433.3333333	14243666.6666667	13410833.3333333	17672433.3333333	15173100	14917000	10089833.3333333	10212800	5839800	3928850
"P23180"	9823200	8957350	4822600	7376966.66666667	7015500	7277966.66666667	7292266.66666667	10417600	8266300	4177750	6459100	7119400	5816333.33333333	6709800	6865000	9824133.33333333	8489733.33333333	10763866.6666667	7255300	5480100	5081300	5491500	11018833.3333333	7055250	8668150	6473100	11980466.6666667
"P02992"	7118766.66666667	6068966.66666667	6683500	16678333.3333333	14896700	17925000	3756833.33333333	10700966.6666667	6469833.33333333	4196200	5382033.33333333	7304300	12138500	9601750	14103066.6666667	11479100	7147150	9731600	6217300	6591833.33333333	5928300	8300600	11118100	10301050	14103100	14647000	14873500
"P13517"	5692300	4395900	3532400	5567650	3988600	4520500	4788600	4521000	5627500	5038900	4978200	4785500	3555650	3793600	4947100	2876100	4624600	2878500	2961750	3991000	3886800	5158700	5431500	6322400	4235200	3733700	3207100
"P30902"	NA	NA	NA	8119700	NA	NA	7878700	NA	NA	9125400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7442500	NA	NA	6371500	NA	NA
"P39939"	83075000	39342700	37250650	33707650	2260000	NA	36689785	61281200	79576000	48084223.3333333	46437633.3333333	74842000	29092650	69077000	35818350	NA	NA	668930	49136036.6666667	50669603.3333333	45266110	28893033.3333333	1105360	82016000	32979650	NA	1770600
"P36015"	3947350	2844650	2665300	3922050	3945200	3720500	2701750	4689450	3295800	4189400	3929950	3574866.66666667	2750900	2974600	3329900	3351550	3367450	4047050	4415900	3960950	3989950	2621000	2771200	2965800	3815800	4751050	3657350
"P38934"	11205033.3333333	11309933.3333333	9727500	12397533.3333333	13349666.6666667	11300166.6666667	10579833.3333333	13742333.3333333	11823433.3333333	11529500	11799000	12462333.3333333	11015600	12331000	11346500	13593666.6666667	13038400	12567100	12464966.6666667	12073533.3333333	11471566.6666667	11062700	12534733.3333333	12442933.3333333	11748700	12341000	15239900
"P38999"	4852600	5289300	4584766.66666667	5838700	5085133.33333333	6328266.66666667	4588166.66666667	5945833.33333333	6942166.66666667	6937166.66666667	5353800	4403100	4855166.66666667	4522800	5776566.66666667	7378700	6383766.66666667	6133200	5580266.66666667	4643333.33333333	4445000	6846766.66666667	5092866.66666667	5457766.66666667	6669166.66666667	5694700	5912266.66666667
"P32288"	49127333.3333333	50584000	50254666.6666667	54444666.6666667	57548333.3333333	50517000	47452333.3333333	47146333.3333333	47609000	49209000	51879000	50492333.3333333	86701000	15578666.6666667	47102000	50367333.3333333	51038333.3333333	51137666.6666667	29428333.3333333	33299000	51256000	48952000	52639333.3333333	32506333.3333333	28466333.3333333	78664333.3333333	26331000
"P02309"	17689000	27851333.3333333	18433333.3333333	30106000	15075500	11443366.6666667	17549000	22116000	18807000	12728533.3333333	14991000	18134333.3333333	26115666.6666667	14765333.3333333	16150666.6666667	19814000	15324950	19287000	17617333.3333333	28553333.3333333	16277000	25605666.6666667	33109333.3333333	13188700	11529700	14254466.6666667	21987100
"P38879"	26356666.6666667	22138700	21071966.6666667	20228000	24521333.3333333	20890333.3333333	27690000	33004000	23250800	20561433.3333333	20462666.6666667	31076500	13844000	22904666.6666667	16330000	26680533.3333333	30247000	37309000	28170333.3333333	21930833.3333333	21815200	18773000	25431000	23594333.3333333	28375333.3333333	27552666.6666667	25437000
"P01375ups|TNFA_HUMAN_UPS"	14011600	13600100	16982000	NA	NA	NA	24467666.6666667	27175500	24266000	NA	NA	NA	NA	NA	NA	77195000	84003333.3333333	72654666.6666667	4237300	4385400	4798700	NA	NA	NA	NA	NA	NA
"P46672"	25539333.3333333	21048666.6666667	25085333.3333333	21324666.6666667	19127000	21356333.3333333	23585666.6666667	23542666.6666667	25025000	20985000	19443666.6666667	23291000	21062000	20399333.3333333	23753666.6666667	25518333.3333333	25641333.3333333	27843000	23880333.3333333	22805333.3333333	20686000	20978666.6666667	23715000	23182333.3333333	17263000	27973666.6666667	24467333.3333333
"Q06625"	NA	NA	NA	NA	NA	NA	NA	NA	2388600	NA	NA	6602400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5339700	NA	NA	NA
"P51965ups|UB2E1_HUMAN_UPS"	7958900	8155300	6449500	NA	NA	NA	10751900	13730133.3333333	15481500	NA	NA	NA	NA	NA	NA	28307333.3333333	27498666.6666667	26961333.3333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O00762ups|UBE2C_HUMAN_UPS"	18501333.3333333	18370333.3333333	18742500	NA	NA	NA	36286666.6666667	36663666.6666667	38900333.3333333	3750200	4527800	NA	NA	NA	NA	92541666.6666667	83364000	94275000	7879466.66666667	9879200	10372150	NA	NA	NA	NA	NA	NA
"P00358"	61715333.3333333	75187000	69386333.3333333	89180333.3333333	72115666.6666667	64728300	56732000	54451000	51174333.3333333	53153333.3333333	67041666.6666667	52235000	78022000	70030100	84198333.3333333	55062333.3333333	76260333.3333333	76535666.6666667	33376466.6666667	64946666.6666667	63955666.6666667	78615000	23562533.3333333	31323966.6666667	102619000	66820100	64836966.6666667
"P00359"	1164043333.33333	1167313333.33333	1041200000	1427833333.33333	1359166666.66667	1336400000	1041773333.33333	1.337e+09	1230060000	956493333.333333	1113150000	1091820000	1098413333.33333	1201633333.33333	1274800000	1247600000	1239400000	1235210000	1063150000	1087660000	1060066666.66667	1092246666.66667	1254366666.66667	1181776666.66667	1581666666.66667	1465866666.66667	1474800000
"P05373"	3471900	3241000	6857700	3176600	NA	7267100	NA	12358000	3803400	3810300	6267500	3135300	2187300	2626600	5823750	NA	3008500	3198800	3367600	3971800	NA	NA	NA	2857700	NA	NA	NA
"Q08723"	2889800	4674150	3565100	5543200	6206650	2351700	NA	6355500	5153200	2914900	2820700	5214100	3271400	NA	8022700	3153100	8389000	8059900	NA	5000250	2670200	NA	5377450	11598000	5866133.33333333	7633450	5268550
"P32590"	4707200	12655000	3904200	9593500	2359900	3350700	4554800	17311800	12112850	7658900	4785000	9786650	3240700	2891800	3307150	4587100	3460400	4717350	5130450	3275100	4741600	NA	NA	2597500	8646250	16967666.6666667	13433333.3333333
"P10636-8ups|TAU_HUMAN_UPS"	26788000	25958666.6666667	21977666.6666667	NA	NA	NA	38300333.3333333	57391000	52056333.3333333	2475400	3916250	3175466.66666667	NA	NA	NA	115813333.333333	110692000	106074000	10796233.3333333	3393950	7338800	NA	NA	NA	NA	NA	NA
"P05453"	3605600	4007200	NA	NA	NA	3001300	NA	4631400	NA	2921700	NA	3208000	3649050	3949200	3558500	NA	NA	NA	NA	3355000	3793800	3729200	3482800	NA	4709800	NA	NA
"P31688"	4264466.66666667	3745600	2036800	4502300	NA	4299150	3166100	NA	3923900	3492633.33333333	7105100	6165100	3504800	4327950	3706100	5071250	5112150	3714650	4413550	3687400	4545700	5293900	4368633.33333333	3894050	3128900	4419466.66666667	NA
"P15731"	18535000	18680000	22279500	16808000	16871000	16346000	24408000	21869000	19797000	19637000	21574000	20437000	NA	15101000	18271000	31120000	26080000	25595500	17429000	18906000	20387000	NA	16095000	15541000	14642000	14570000	13093000
